codmun,n_obs,pop_weight_sum,AAI_total,AAI_ci_lower,AAI_ci_upper,AAI_ci_width,health_score,functional_score,reliable,uf
160000,31,7302.645005349999,0.12655704445402402,0.10261834118706284,0.15434426992285166,0.05172592873578882,0.2239013826040018,0.02921270630404628,True,Amapá
280021,32,15604.913394490002,0.13063389616102652,0.11638650894395125,0.14820417554403756,0.03181766660008631,0.24016922414401676,0.021098568178036348,True,Sergipe
120001,44,7880.86482609,0.1353480457928856,0.11709106606628168,0.1558348754700853,0.038743809403803606,0.24603778750863933,0.024658304077131835,True,Acre
140003,38,4708.352245210001,0.13617519442574227,0.12136802723569891,0.15221673731780086,0.03084871008210195,0.24060150664888866,0.031748882202595835,True,Roraima
170026,34,18522.729828539996,0.13677760935596575,0.09922595169802483,0.1845767887650565,0.08535083706703168,0.2347998919727851,0.03875532673914636,True,Tocantins
140006,40,5143.841029900001,0.13918758858300107,0.1255996848743342,0.15353683630112908,0.02793715142679487,0.2590950481676478,0.01928012899835436,True,Roraima
320011,30,23752.585226809995,0.14208190779897129,0.12661280541419295,0.163514918862719,0.036902113448526036,0.26643864521481364,0.017725170383129003,True,Espírito Santo
170005,30,15610.342925180004,0.1446858340140584,0.11564831390505398,0.18288968018170249,0.0672413662766485,0.2535337039962313,0.03583796403188556,True,Tocantins
420024,30,32735.93470592,0.14808340656842736,0.13362101765096007,0.16994105522329067,0.0363200375723306,0.27070081502708504,0.0254659981097696,True,Santa Catarina
140008,30,3996.3867172299997,0.153047371752318,0.13239889221377563,0.18008215082939805,0.04768325861562242,0.2632290896488856,0.04286565385575043,True,Roraima
