codmun,n_obs,pop_weight_sum,AAI_total,AAI_ci_lower,AAI_ci_upper,AAI_ci_width,health_score,functional_score,reliable,uf
110000,33,16312.70974915,0.19185024233611547,0.10744881118335928,0.3243355527890097,0.21688674160565044,0.29887369540212805,0.0848267892701029,True,Rondônia
110001,13,11015.52578386,0.15595741585926928,0.11025517548851928,0.19785563461831582,0.08760045912979654,0.2687168136619047,0.043198018056633834,False,Rondônia
110002,17,6679.84745715,0.17365902624520108,0.1392884405602187,0.2135490276280393,0.0742605870678206,0.27906330325118434,0.06825474923921782,False,Rondônia
110003,15,4717.41492479,0.12542680635373668,0.10632554701924508,0.14704366543040062,0.04071811841115554,0.24021784901264984,0.010635763694823486,False,Rondônia
110004,20,12443.55062651,0.20662767553104738,0.15662145694389823,0.25763182702062504,0.10101037007672681,0.32012556489446115,0.09312978616763362,False,Rondônia
110005,30,12504.127349229999,0.22790092142392135,0.15779388168561573,0.3157641289870462,0.15797024730143047,0.34750979349048505,0.10829204935735758,True,Rondônia
110006,6,2837.73946806,,,,,0.25510550149430633,0.01663593397785516,False,Rondônia
110007,14,6644.80001655,0.13099153829346175,0.11813144521734395,0.14559894024608977,0.02746749502874582,0.24979626205423505,0.012186814532688453,False,Rondônia
110008,30,12317.459208299999,0.1939282854548133,0.1217282163686983,0.2718124388256827,0.15008422245698438,0.312082788397071,0.07577378251255565,True,Rondônia
110009,17,7667.56449124,0.1841154794802543,0.1312341068242869,0.23230681794367142,0.10107271111938451,0.3023983969806006,0.0658325619799081,False,Rondônia
110010,19,5790.2416355099995,0.13816484857793987,0.11990617362761613,0.16001435802044695,0.040108184392830815,0.25470392193778374,0.021625775218096027,False,Rondônia
110011,6,6308.364415229999,,,,,0.25378471239538025,0.022237720067315617,False,Rondônia
110012,20,14050.47523765,0.17095004188427695,0.09233921453128574,0.27759048310977086,0.18525126857848512,0.2740851199230772,0.06781496384547665,False,Rondônia
110013,26,15495.498394039996,0.17124889264398419,0.12124324020551579,0.24428026190425026,0.12303702169873447,0.2898294679701528,0.05266831731781556,False,Rondônia
110014,14,8134.5887874499995,0.19449759767953792,0.13789383843749697,0.27471375579965496,0.13681991736215798,0.3103616809694671,0.07863351438960879,False,Rondônia
110015,14,2370.7698565899996,0.14046987216613505,0.09128281722525901,0.19676717357681633,0.10548435635155733,0.23221959200414172,0.048720152328128416,False,Rondônia
110016,6,2094.9380388199997,,,,,0.24203374249524462,0.0033138511573403604,False,Rondônia
110017,26,9659.168040389999,0.2054371161203801,0.1515869863371932,0.26245899870711276,0.11087201236991956,0.32489282669007397,0.08598140555068626,False,Rondônia
110018,22,9188.39536072,0.12993375215119365,0.0855624068583922,0.17777065792982133,0.09220825107142913,0.2227929052690468,0.03707459903334049,False,Rondônia
110019,14,4617.22936168,0.1802875073958685,0.14521416100741796,0.22665558946146863,0.08144142845405067,0.2980451746271692,0.06252984016456782,False,Rondônia
